movie title, Daudience , A1audience , A2audience , Dscreen , A1screen , A2screen , Nationality , Grade , Season , Month , Actscore , social distancing , labels 
 장사리 : 잊혀진 영웅들 ,138274,823796,1065719,1065,997,583,0,12,3,9,8,0,1
 마이펫의 이중생활 2 ,181466,742944,972754,806,782,574,1,0,2,7,3,0,1
 롱 리브 더 킹: 목포 영웅 ,134610,804707,1051945,965,862,263,0,15,2,6,6,0,1
 쥬만지: 넥스트 레벨 ,110126,915286,1041056,1182,1107,105,1,12,4,12,10,0,1
 존 윅 3: 파라벨룸 ,206271,750075,881616,743,553,495,1,19,2,6,4,0,1
 스파이더맨: 노 웨이 홈 ,634962,2770247,3786985,2816,2948,2176,1,12,4,12,10,0,4
 남산의 부장들 ,257743,2604649,3874419,1363,1659,1362,0,15,4,1,20,0,3
 다만 악에서 구하소서 ,350044,2025071,2914742,1837,1995,1558,0,15,4,8,19,1,3
 반도 ,354764,1803970,2392829,2338,2541,1960,0,15,4,7,8,1,3
 모가디슈 ,136741,788290,1323072,1635,1688,1620,0,5,4,7,12,4,3
 이터널스 ,297871,1614946,2061128,2578,2612,1932,1,12,4,11,20,0,3
 블랙 위도우 ,197418,1366079,1781837,2465,2501,1483,1,12,4,7,6,4,2
 히트맨 ,97089,1148237,1874016,944,1122,1027,0,15,4,1,6,0,2
 분노의 질주: 더 얼티메이트 ,400767,1133201,1456143,2271,2275,1437,1,12,4,5,5,4,2
 싱크홀 ,154658,922343,1387909,1431,1603,1240,0,12,4,8,12,4,2
 베놈 2: 렛 데어 비 카니지 ,204128,1096563,1373196,1776,1990,1445,1,15,4,10,4,4,2
 소울 ,61663,408482,644662,1603,2018,1458,1,0,4,1,1,3,2
 테넷 ,222446,660405,883867,2228,2205,1493,1,12,4,8,3,1,2
 크루엘라 ,42842,298576,458006,991,1184,1011,1,12,4,5,6,2,1
 #살아있다 ,208072,1060001,1342933,1662,1869,1444,0,15,4,6,5,1,1
 강철비2: 정상회담 ,225958,1019937,1386155,2137,2100,1015,0,15,4,7,7,1,1
 샹치와 텐 링즈의 전설 ,139965,755058,978939,1570,1770,1492,1,12,4,9,3,4,1
 담보 ,68137,673195,982519,967,1342,1000,0,12,4,9,14,2,1
 인질 ,104365,638885,908440,1114,1288,1240,0,15,4,8,12,4,1
 닥터 두리틀 ,108385,929622,1233538,1016,1290,939,1,0,4,1,8,0,1
 삼진그룹 영어토익반 ,46199,358705,626476,1615,1579,1460,0,12,4,10,5,2,1
 듄 ,66034,383158,566858,1496,1571,1292,1,12,4,10,2,4,1
 도굴 ,79724,565477,787428,1573,1621,1162,0,12,4,11,13,2,1
 정직한 후보 ,125144,911455,1249120,1062,1187,901,0,12,4,2,17,0,1
 보이스 ,63137,355622,800812,1156,1296,1145,0,15,4,9,6,4,1
 클로젯 ,105427,682559,992813,1111,1194,805,0,15,4,2,13,0,1
 007 노 타임 투 다이 ,104194,564241,803296,2178,2201,1711,1,12,4,9,8,4,1
 오케이 마담 ,116047,779373,1059052,1121,1288,1076,0,15,4,8,12,1,1
 해치지않아 ,145512,813395,1039132,1104,1195,603,0,12,4,1,7,0,1
 미나리 ,41730,277064,392476,996,1158,985,1,12,4,3,4,3,1
 발신제한 ,57452,350784,546889,968,997,870,0,15,4,6,10,2,0
 보스 베이비 2 ,57912,356263,538682,1095,1338,796,1,0,4,7,4,4,0
 결백 ,27371,314864,442565,938,1112,813,0,15,4,6,2,1,0
1917,66638,283037,373600,932,863,603,1,15,4,2,0,0,0
 작은 아씨들 ,86025,464496,655311,932,1092,663,1,0,4,2,4,0,0
 콰이어트 플레이스 2 ,67205,379706,518007,1137,1100,754,1,15,4,6,4,2,0
 랑종 ,177649,558599,692638,1328,13553,836,0,19,4,7,0,4,0
 유체이탈자 ,70214,362490,523215,1105,1187,1052,0,15,4,11,7,0,0
 컨저링3: 악마가 시켰다 ,51247,381228,559150,924,961,1050,1,15,4,6,3,2,0
 기적 ,42006,188583,381021,1128,1148,919,0,12,4,9,18,4,0
 고질라 VS. 콩 ,39181,350541,505739,1164,1134,1053,1,12,4,3,1,2,0
 지푸라기라도 잡고 싶은 짐승들 ,85670,370653,462847,996,988,681,0,19,4,2,8,0,0
 킹스맨: 퍼스트 에이전트 ,67049,405856,622461,1061,970,883,1,19,4,12,6,0,0
 엔칸토: 마법의 세계 ,40561,316689,464960,853,1092,697,1,0,4,11,0,0,0
 미스터 주: 사라진 VIP ,51431,393857,555962,647,692,597,0,12,4,1,13,0,0
 연애 빠진 로맨스 ,40594,209077,316360,931,944,799,0,15,4,11,1,0,0
 인비저블맨 ,26785,155956,249015,776,744,632,1,15,4,2,1,0,0
 원더 우먼 1984 ,51334,303839,420870,2185,2230,1877,1,12,4,12,7,0,0
 나쁜 녀석들: 포에버 ,62608,402585,494139,876,896,302,1,19,4,1,3,0,0
 국제수사 ,86468,407561,483144,1000,948,526,0,15,4,9,15,2,0
 침입자 ,50416,316514,425085,1241,1224,823,0,15,4,6,7,1,0
 장르만 로맨스 ,57130,331725,434581,1135,1175,688,0,15,4,11,12,0,0
 스타워즈: 라이즈 오브 스카이워커 ,74338,381509,447647,957,881,445,1,12,4,1,1,0,0
