movie title, Daudience , A1audience , A2audience , Dscreen , A1screen , A2screen , Nationality , Grade , Season , Month , Actscore , social distancing , labels 
 블랙머니 ,146613,1275164,1933890,1006,1103,856,0,1,3,11,16,0,2478964
 터미네이터: 다크 페이트 ,275669,1549405,2130145,1305,1265,913,1,2,3,10,2,0,2409062
 사바하 ,191690,1402753,2219330,1162,1103,833,0,2,4,2,13,0,2398519
 타짜: 원 아이드 잭 ,348902,1827044,2160178,1345,1221,777,0,3,3,9,13,0,2229239
 신의 한 수: 귀수편 ,194476,1397914,1969451,1164,940,960,0,2,3,11,10,0,2157437
 알리타: 배틀 엔젤 ,276963,1322882,1747636,919,946,631,1,1,4,2,2,0,1952063
 내안의 그놈 ,111957,953925,1730930,671,1004,913,0,2,4,1,10,0,1917999
 뺑반 ,267984,1306426,1790806,1285,802,714,0,2,4,1,7,0,1826912
 변신 ,111720,939871,1569674,742,917,804,0,2,2,8,17,0,1804112
 주먹왕 랄프 2: 인터넷 속으로 ,130447,967984,1442448,962,908,636,1,0,4,1,1,0,1758891
 걸캅스 ,80505,806485,1346991,760,756,714,0,2,1,5,14,0,1629528
 사자 ,406113,1346671,1561142,1405,1044,561,0,2,2,7,9,0,1611163
 드래곤 길들이기 3 ,134135,823709,1229465,930,800,684,1,0,4,1,3,0,1507922
 나의 특별한 형제 ,169371,918019,1331746,734,936,741,0,1,1,5,10,0,1478156
 어스 ,214010,1064068,1379883,1084,1015,614,1,2,1,3,3,0,1475087
 말레피센트 2 ,71137,759759,1222417,987,762,610,1,1,3,10,6,0,1444952
 유열의 음악앨범 ,193298,797250,1171470,1052,989,860,0,1,2,8,5,0,1245532
 퍼펙트맨 ,176207,766240,1083592,894,811,677,0,2,3,10,21,0,1240022
 포드 V 페라리 ,65500,557759,952746,986,954,782,1,1,4,12,6,0,1208407
 생일 ,55927,454816,834272,852,856,827,0,0,1,4,9,0,1197565
" 힘을 내요, 미스터 리 ",84422,967303,1145814,911,943,584,0,1,3,9,7,0,1181960
 항거:유관순 이야기 ,102744,870319,1068458,737,900,616,0,1,4,2,5,0,1157949
 장사리 : 잊혀진 영웅들 ,138274,823796,1065719,1065,997,583,0,1,3,9,8,0,1140876
 마이펫의 이중생활 2 ,181466,742944,972754,806,782,574,1,0,2,7,3,0,1114949
 롱 리브 더 킹: 목포 영웅 ,134610,804707,1051945,965,862,263,0,2,2,6,6,0,1094404
 쥬만지: 넥스트 레벨 ,110126,915286,1041056,1182,1107,105,1,1,4,12,10,0,1054963
 존 윅 3: 파라벨룸 ,206271,750075,881616,743,553,495,1,3,2,6,4,0,1004365
 스파이더맨: 노 웨이 홈 ,634962,2770247,3786985,2816,2948,2176,1,1,4,12,10,0,965624
 남산의 부장들 ,257743,2604649,3874419,1363,1659,1362,0,2,4,1,20,0,958775
 다만 악에서 구하소서 ,350044,2025071,2914742,1837,1995,1558,0,2,4,8,19,1,862744
 반도 ,354764,1803970,2392829,2338,2541,1960,0,2,4,7,8,1,851917
 모가디슈 ,136741,788290,1323072,1635,1688,1620,0,2,4,7,12,4,817729
 이터널스 ,297871,1614946,2061128,2578,2612,1932,1,1,4,11,20,0,3050132
 블랙 위도우 ,197418,1366079,1781837,2465,2501,1483,1,1,4,7,6,4,2962088
 히트맨 ,97089,1148237,1874016,944,1122,1027,0,2,4,1,6,0,2406232
 분노의 질주: 더 얼티메이트 ,400767,1133201,1456143,2271,2275,1437,1,1,4,5,5,4,2292415
 싱크홀 ,154658,922343,1387909,1431,1603,1240,0,1,4,8,12,4,2195683
 베놈 2: 렛 데어 비 카니지 ,204128,1096563,1373196,1776,1990,1445,1,2,4,10,4,4,2123573
 소울 ,61663,408482,644662,1603,2018,1458,1,0,4,1,1,3,2048228
 테넷 ,222446,660405,883867,2228,2205,1493,1,1,4,8,3,1,2001171
 크루엘라 ,42842,298576,458006,991,1184,1011,1,1,4,5,6,2,1983397
 #살아있다 ,208072,1060001,1342933,1662,1869,1444,0,2,4,6,5,1,1903992
 강철비2: 정상회담 ,225958,1019937,1386155,2137,2100,1015,0,2,4,7,7,1,1791683
 샹치와 텐 링즈의 전설 ,139965,755058,978939,1570,1770,1492,1,1,4,9,3,4,1740868
 담보 ,68137,673195,982519,967,1342,1000,0,1,4,9,14,2,1719593
 인질 ,104365,638885,908440,1114,1288,1240,0,2,4,8,12,4,1638439
 닥터 두리틀 ,108385,929622,1233538,1016,1290,939,1,0,4,1,8,0,1607082
 삼진그룹 영어토익반 ,46199,358705,626476,1615,1579,1460,0,1,4,10,5,2,1571924
 듄 ,66034,383158,566858,1496,1571,1292,1,1,4,10,2,4,1549346
 도굴 ,79724,565477,787428,1573,1621,1162,0,1,4,11,13,2,1545281
 정직한 후보 ,125144,911455,1249120,1062,1187,901,0,1,4,2,17,0,1538308
 보이스 ,63137,355622,800812,1156,1296,1145,0,2,4,9,6,4,1426357
 클로젯 ,105427,682559,992813,1111,1194,805,0,2,4,2,13,0,1270835
